OEM,Device,Score
Samsung,Galaxy Buds3,2
Fairphone,Fairbuds,10
Amazon,Echo Buds,5
Google,Pixel Buds Pro,2
Google,Pixel Buds A-Series,3
JBL,Vibe 200TWS,0
Sony,WF-1000XM4,7
Samsung,Galaxy Buds Live,8
Microsoft,Surface Earbuds,4
Apple,AirPods Pro,0
Sony,Sony WF-1000XM3,5
